2025-09-22 16:30:03|MSTR|Shao Wei-Ming|S|355.79|-10000
2025-09-22 16:25:46|MAMA|Romig Shirley|S|10.18|-4000
2025-09-22 16:23:19|LENZ|Versant Venture Capital Vi, L.P.|S|42.23|-135304
2025-09-22 16:16:18|COR|Mauch Robert P.|S|290|-5097
2025-09-22 16:15:25|PHR|Linetsky David|S|23.94|-93
2025-09-22 16:15:05|AGX|Collins Charles Edwin IV|S|257.39|-7500
2025-09-22 16:10:15|STRS|Oasis Management Co Ltd.|S|21.02|-1998
2025-09-22 16:06:37|ESNT|Bhasin Vijay|S|65|-11479
2025-09-22 16:06:35|PSTG|Colgrove John|S|87.33|-100000
2025-09-22 16:06:32|ESNT|Gibbons Mary Lourdes|S|65|-4000
2025-09-22 16:06:00|CACC|Booth Kenneth|S|506.59|-4000
2025-09-22 16:05:31|TRMB|Keating Christopher F|S|81.74|-7365
2025-09-22 16:03:10|APTV|Brazier Allan J|S|85|-1000
2025-09-22 15:24:30|UUUU|Higgs Dennis Lyle|S|14.66|-10000
2025-09-22 15:05:07|FMBM|Wray Peter H|P|25.92|238
2025-09-22 12:55:56|KEQU|Hull Thomas David III|S|45.64|-1425
2025-09-22 07:30:03|CGON|Mulay James|S|39.01|-22686
2025-09-22 07:10:20|ZIP|Travers David|S|5.3|-18793
2025-09-22 07:07:30|ZIP|Garefis Amy|S|5.29|-3021
2025-09-19 21:35:19|NTRA|Rabinowitz Matthew|S|180.33|-50000
2025-09-19 20:49:25|SOFI|Rishel Jeremy|S|27.5|-98733
2025-09-19 20:49:10|SOFI|Keough Kelli|S|27.86|-10036
2025-09-19 20:14:08|DELL|Slta IV (Gp), L.L.C.|S|132.32|-565000
2025-09-19 20:10:13|DELL|Slta V (Gp), L.L.C.|S|132.32|-565000
2025-09-19 20:08:11|ATEC|Sponsel David|S|15.09|-140000
2025-09-19 19:22:41|ACLX|Heery Christopher|S|80.01|-3643
2025-09-19 18:28:24|CVNA|Garcia Ernest C. III|S|394.36|-700
2025-09-19 18:27:15|CVNA|Garcia Ernest C. III|S|385.29|-9300
2025-09-19 18:27:07|SNOW|Dageville Benoit|S|219.36|-25000
2025-09-19 18:23:43|RARE|Huizenga Theodore Alan|S|29.17|-64
2025-09-19 18:19:19|SITM|Howe Elizabeth A.|S|298|-1000
2025-09-19 18:06:16|WSM|Howie Jeffrey|S|198.84|-3153
2025-09-19 17:37:33|KRC|Paratte A. Robert|S|44|-3500
2025-09-19 17:24:55|TEAM|Cannon-Brookes Michael|S|170.09|-7665
2025-09-19 17:24:20|TEAM|Farquhar Scott|S|170.09|-7665
2025-09-19 17:08:45|ROKU|Wood Anthony J.|S|100|-25000
2025-09-19 16:41:42|CTLP|Singal Gaurav|S|10.63|-200000
2025-09-19 16:41:00|VRSN|Bidzos D James|S|287.96|-2000
2025-09-19 16:37:53|NWN|Anderson David Hugo|S|42.13|-7795
2025-09-19 16:30:13|ACMR|Wang Jian|S|35|-30000
2025-09-19 16:30:11|ACMR|Cheav Sotheara|S|35|-10000
2025-09-19 16:28:29|AVBC|Cozzone Robert D|P|15.97|3130
2025-09-19 16:22:32|ESI|Capps John Edward|S|26.77|-77674
2025-09-19 16:22:26|ESI|Gliklich Benjamin|S|26.56|-117637
2025-09-19 16:22:19|ESI|Dorman Carey J.|S|26.66|-40725
2025-09-19 16:19:12|HSY|Voskuil Steven E|S|189.12|-1500
2025-09-19 16:18:40|EBAY|Boone Cornelius|S|89.53|-4439
2025-09-19 16:17:22|RDN|Hoffman Edward J|S|37|-10000
2025-09-19 16:15:12|BATRA|Gamco Investors, Inc. Et Al|S|45.32|-1900
2025-09-19 16:15:06|ETSY|Silverman Josh|S|65|-70000
2025-09-19 16:07:43|IPGP|Ness Trevor|S|82.64|-1678
2025-09-19 16:05:52|SXI|Dunbar David A.|S|215|-11000
2025-09-19 16:05:31|EQH|Pearson Mark|S|54.23|-39700
2025-09-19 16:00:05|LLY|Lilly Endowment Inc|S|764.65|-106626
2025-09-19 14:39:11|FG|Punjabi Leena|S|33.81|-3000
2025-09-19 14:35:04|CCB|Sprink Eric M|S|114.65|-10683
2025-09-19 14:34:03|CCB|Edwards Joel G|S|114.67|-9425
2025-09-19 14:21:39|MKSI|Schreiner James Alan|S|124|-838
2025-09-19 14:18:31|MKSI|Henry David Philip|S|130|-5000
2025-09-19 12:32:03|PGC|Chalkan Lisa|S|29.65|-2500
2025-09-19 11:17:39|TPL|Horizon Kinetics Asset Management LLC|P|915.55|1
2025-09-19 11:06:52|AVBC|Jensen Barry H|P|15.85|2500
2025-09-19 09:18:43|AROC|Rebrook Jason C|P|24.17|10000
2025-09-19 09:08:24|BRC|Shaller Russell|S|80.07|-23743
2025-09-19 08:57:12|ATEX|Lang Scott A.|P|21.28|4650
2025-09-19 08:32:17|NEXT|Scoggins Edward Andrew Jr.|P|6.46|15000
2025-09-18 21:17:53|CRUS|Thomas Scott|S|121.49|-11089
2025-09-18 20:52:48|UBER|West Tony|S|93.94|-3125
2025-09-18 19:30:27|CME|Marcus Jonathan L|S|262|-392
2025-09-18 19:28:11|ROIV|Gline Matthew|P|15.07|3315
2025-09-18 18:20:22|UFCS|Besong John Paul E|S|32.26|-2450
2025-09-18 17:42:28|PATH|Dines Daniel|S|11.93|-122733
2025-09-18 16:31:05|UTHR|Mahon Paul A|S|406.17|-11000
2025-09-18 16:29:17|NGS|Taylor Stephen Charles|S|27.5|-1638
2025-09-23 21:26:29|AJG|Howell Douglas K|S|299.42|-14000
2025-09-23 21:00:20|ROIV|Venker Eric|S|14.92|-1711000
2025-09-23 21:00:05|RH|Demilio Mark S|S|236.13|-2000
2025-09-23 20:59:26|AGX|Getsinger Peter W|S|264.54|-1000
2025-09-23 19:58:51|MUX|Diges Carmen L|S|14.34|-21000
2025-09-23 19:56:09|MUX|McEwen Robert Ross|S|14.35|-50000
2025-09-23 19:11:42|SMR|Fluor Corp|S|43.94|-4567320
2025-09-23 19:06:49|ANET|Giancarlo Charles H|S|148.42|-58000
2025-09-23 18:05:30|TTAN|Bessemer Venture Partners VIII L.P.|S|118.21|-28245
2025-09-23 18:01:11|CODA|Sondergaard Niels|S|8.21|-56370
2025-09-23 17:25:24|IHT|Berg Marc E|S|10575|-5000
2025-09-23 17:24:12|NVDA|Drell Persis|S|177.65|-40000
2025-09-23 17:21:50|PX|McCoy David M.|S|12.08|-44000
2025-09-23 17:19:16|NVDA|Stevens Mark A|S|176.39|-350000
2025-09-23 17:14:23|ELVN|Lyssikatos Joseph P|S|19.39|-7000
2025-09-23 16:36:29|GLP|Global Gp LLC|P|49.56|7723
2025-09-23 16:34:04|DELL|Slta IV (Gp), L.L.C.|S|132.84|-318171
2025-09-23 16:33:29|DELL|Slta V (Gp), L.L.C.|S|132.84|-318171
2025-09-23 16:30:06|GTLB|Jacobson Matthew|S|50.17|-233382
2025-09-23 16:28:43|SGA|Edward K. Christian Trust|S|12.63|-581
2025-09-23 16:26:49|CVNA|Garcia Ernest C. III|S|386.7|-10000
2025-09-23 16:24:00|IBEX|Greenwald Taylor C|S|40.73|-2295
2025-09-23 16:19:13|RGR|Killoy Christopher John|S|40|-10000
2025-09-23 16:18:40|VCYT|McGuire Annie|S|33.69|-2283
2025-09-23 16:11:00|MDB|Merriman Dwight A|S|320.28|-31000
2025-09-23 16:03:36|IBKR|Brody Paul Jonathan|S|64.46|-65895
2025-09-23 16:03:21|CENX|Calloway Kenneth L|S|27.5|-16450
2025-09-23 16:03:11|NN|Shams Sammaad|S|17.34|-102
2025-09-23 14:16:49|GIS|Williams-Roll Jacqueline|S|50.04|-4000
2025-09-23 12:33:53|MASS|Griffith Joseph H. IV|S|7.07|-5000
2025-09-23 12:21:14|EZPW|Appel Matthew W|S|18.02|-9038
2025-09-23 11:42:49|SNPS|Kankanwadi Sudhindra|S|493.76|-15873
2025-09-23 11:26:23|KRNY|Montanaro Leopold W|P|6.57|10000
